 Thread = 1, FIX# = 1, NUMPAD = 0, Peak Performance =   123.29 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 1, Peak Performance =   105.46 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 2, Peak Performance =   127.58 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 3, Peak Performance =    99.79 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 4, Peak Performance =   118.65 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 5, Peak Performance =   129.14 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 6, Peak Performance =   123.48 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 7, Peak Performance =    96.84 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 8, Peak Performance =   111.25 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 9, Peak Performance =   123.49 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 10, Peak Performance =   128.20 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 11, Peak Performance =   122.68 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 12, Peak Performance =   106.83 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 13, Peak Performance =    98.14 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 14, Peak Performance =   103.74 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 15, Peak Performance =   113.45 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   105.23 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   117.81 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   126.19 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   130.28 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   172.70 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   124.52 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   168.91 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   120.65 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   149.56 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   122.44 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   107.09 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   152.60 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   163.93 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   170.15 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   117.77 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   147.15 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 0, Peak Performance =    93.76 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 1, Peak Performance =    84.05 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 2, Peak Performance =    89.84 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 3, Peak Performance =    96.80 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 4, Peak Performance =    88.25 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 5, Peak Performance =   137.22 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 6, Peak Performance =   138.27 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 7, Peak Performance =   208.70 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 8, Peak Performance =   206.25 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 9, Peak Performance =   205.32 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 10, Peak Performance =   200.95 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 11, Peak Performance =   274.39 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 12, Peak Performance =   209.86 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 13, Peak Performance =   265.95 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 14, Peak Performance =   202.54 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 15, Peak Performance =   275.32 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   218.03 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   208.88 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   175.06 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   208.09 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   226.99 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   204.98 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   219.09 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   205.71 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   223.00 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   205.06 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   224.65 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   203.36 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   224.71 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   206.74 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   219.09 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   176.15 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 0, Peak Performance =   105.57 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 1, Peak Performance =   122.05 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 2, Peak Performance =   118.57 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 3, Peak Performance =    88.98 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 4, Peak Performance =    87.58 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 5, Peak Performance =   100.98 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 6, Peak Performance =   120.97 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 7, Peak Performance =   159.15 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 8, Peak Performance =   149.90 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 9, Peak Performance =   152.95 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 10, Peak Performance =   180.94 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 11, Peak Performance =   221.67 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 12, Peak Performance =   162.81 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 13, Peak Performance =   226.70 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 14, Peak Performance =   152.96 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 15, Peak Performance =   322.98 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   373.84 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   315.95 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   309.88 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   359.51 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   325.20 MegaPlus/Sec
