 Thread = 4, FIX# = 1, NUMPAD = 1, Peak Performance =   127.61 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 2, Peak Performance =   119.33 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 3, Peak Performance =   142.26 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 4, Peak Performance =   162.69 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 5, Peak Performance =   136.10 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 6, Peak Performance =   144.69 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 7, Peak Performance =   170.99 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 8, Peak Performance =   191.83 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 9, Peak Performance =   173.04 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 10, Peak Performance =   167.55 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 11, Peak Performance =   303.00 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 12, Peak Performance =   272.80 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 13, Peak Performance =   368.19 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 14, Peak Performance =   417.82 MegaPlus/Sec
 Thread = 4, FIX# = 1, NUMPAD = 15, Peak Performance =   448.33 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   456.37 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   454.73 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   456.50 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   455.02 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   418.22 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   455.92 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   456.48 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   454.94 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   421.95 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   451.30 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   455.75 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   454.80 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   423.87 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   456.72 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   454.81 MegaPlus/Sec
 Thread = 4, FIX# = 2, NUMPAD = 0, Peak Performance =   550.82 MegaPlus/Sec
