Using 1 threads
finish readstarttry0try1   Peak Performance =  1703.65 MegaMults/Sec
Average Performance =  1649.63 MegaMults/Sec
Sum[225] = 61100.683594
Sum[226] = 63760.121094
Sum[227] = 65798.101562
Sum[228] = 56985.339844
Sum[229] = 62332.562500
Sum[230] = 51295.214844
Sum[231] = 58207.117188
Sum[232] = 54960.492188
Sum[233] = 53004.585938
Sum[234] = 44976.554688
Sum[235] = 53701.347656
Sum[236] = 48998.222656
Sum[237] = 43633.277344
Sum[238] = 48177.230469
Sum[239] = 41335.976562
Sum[240] = 50243.003906
Sum[241] = 38610.875000
Sum[242] = 44807.851562
Sum[243] = 44586.460938
Sum[244] = 45509.457031
Sum[245] = 42944.390625
Sum[246] = 43903.933594
Sum[247] = 42870.871094
Sum[248] = 35322.933594
Sum[249] = 36393.433594
Sum[250] = 27791.140625
Sum[251] = 28859.574219
Sum[252] = 16264.713867
Sum[253] = 22110.091797
Sum[254] = 31025.009766
Sum[255] = 26876.779297
Sum[256] = 22411.566406
Sum[257] = 22982.386719
Sum[258] = 7545.993164
Sum[259] = 14096.093750
Sum[260] = 14924.119141
Sum[261] = 13150.879883
Sum[262] = 18505.500000
Sum[263] = 17056.710938
Sum[264] = 13012.628906
Sum[265] = 1426.499634
Sum[266] = 1597.227051
Sum[267] = 742.168579
Sum[268] = 5387.368652
Sum[269] = 6618.885254
Sum[270] = -8803.545898
Sum[271] = -4525.659180
Sum[272] = -6399.755859
Sum[273] = 2162.825928
Sum[274] = -3805.853516
Sum[275] = -8148.527832
Sum[276] = -7133.981934
Sum[277] = -5649.055176
Sum[278] = -10966.744141
Sum[279] = -24148.537109
Sum[280] = -27785.480469
Sum[281] = -15369.664062
Sum[282] = -20488.798828
Sum[283] = -20540.074219
Sum[284] = -29086.433594
Sum[285] = -23452.982422
Sum[286] = -23498.673828
Sum[287] = -26399.742188
Sum[288] = -21385.980469
Sum[289] = -40529.585938
Sum[290] = -33203.933594
Sum[291] = -31438.804688
Sum[292] = -31854.185547
Sum[293] = -38365.691406
Sum[294] = -37495.980469
Sum[295] = -38372.984375
Sum[296] = -47440.824219
Sum[297] = -34003.847656
Sum[298] = -38368.890625
Sum[299] = -52490.105469
Sum[300] = -38654.214844
Sum[301] = -55324.867188
Sum[302] = -54117.414062
Sum[303] = -45588.148438
Sum[304] = -51095.792969
Sum[305] = -54085.851562
Sum[306] = -41348.820312
Sum[307] = -55937.902344
Sum[308] = -50944.914062
Sum[309] = -61724.003906
Sum[310] = -50600.875000
Sum[311] = -53230.914062
Sum[312] = -55634.882812
Sum[313] = -55846.730469
Sum[314] = -73190.226562
Sum[315] = -59504.207031
Sum[316] = -71347.414062
Sum[317] = -52991.796875
Sum[318] = -63681.218750
Sum[319] = -54895.277344
Sum[320] = -51696.964844
Sum[321] = -60195.007812
Sum[322] = -64592.835938
Sum[323] = -66194.765625
Sum[324] = -58887.996094
Sum[325] = -68708.421875
Sum[326] = -57187.113281
Sum[327] = -60614.511719
Sum[328] = -60443.285156
Sum[329] = -62312.230469
Sum[330] = -62396.679688
Sum[331] = -60009.667969
Sum[332] = -56077.218750
Sum[333] = -50669.250000
Sum[334] = -56312.472656
Sum[335] = -60669.937500
Sum[336] = -53610.937500
Sum[337] = -52355.972656
Sum[338] = -58132.656250
Sum[339] = -50641.453125
Sum[340] = -55894.250000
Sum[341] = -54784.796875
Sum[342] = -57650.101562
Sum[343] = -57684.382812
Sum[344] = -50313.613281
Sum[345] = -51842.230469
Sum[346] = -42474.074219
Sum[347] = -49145.175781
Sum[348] = -39604.656250
Sum[349] = -43581.519531
Sum[350] = -42683.535156
Sum[351] = -42845.476562
Sum[352] = -40303.050781
Sum[353] = -39476.539062
Sum[354] = -39001.109375
Sum[355] = -31110.814453
Sum[356] = -37562.039062
Sum[357] = -34166.968750
Sum[358] = -27200.998047
Sum[359] = -35182.023438
Sum[360] = -14576.144531
Sum[361] = -25242.781250
Sum[362] = -24715.052734
Sum[363] = -24673.937500
Sum[364] = -10146.969727
